iso,year,rank_eci,growth_proj_annual_2024,rank_growth,name
HRV,2009,23,2.9,77,Croatia
NOR,2009,27,1.73,113,Norway
LTU,2009,36,2.87,78,Lithuania
LVA,2009,31,2.76,82,Latvia
PRT,2009,35,2.73,84,Portugal
BIH,2009,32,3.38,49,Bosnia and Herzegovina
BGR,2009,39,2.98,74,Bulgaria
CAN,2009,30,2.99,73,Canada
PHL,2009,53,4.93,13,Philippines
TUR,2009,42,4.59,20,Turkey
UKR,2009,37,3.64,39,Ukraine
IND,2009,51,6.92,1,India
GRC,2009,46,2.62,88,Greece
TUN,2009,50,3.95,31,Tunisia
JOR,2009,43,4.83,16,Jordan
NZL,2009,52,2.22,98,New Zealand
RUS,2009,45,2.16,101,Russia
URY,2009,49,2.63,87,Uruguay
SLV,2009,62,3.01,69,El Salvador
CRI,2009,58,2.93,76,Costa Rica
BRA,2009,47,3.8,35,Brazil
ZAF,2009,56,3.26,53,South Africa
IDN,2009,78,4.47,23,Indonesia
LBN,2009,41,3.7,37,Lebanon
VNM,2009,72,4.51,22,Vietnam
MDA,2009,48,3.15,62,Moldova
MUS,2009,61,2.29,96,Mauritius
EGY,2009,68,5.36,6,Egypt
GEO,2009,65,1.86,111,Georgia
COL,2009,44,3.98,30,Colombia
ARG,2009,55,3.3,51,Argentina
DOM,2009,76,3.05,68,Dominican Republic
ARE,2009,57,2.59,90,United Arab Emirates
MKD,2009,64,2.23,97,Macedonia
JAM,2009,60,2.03,105,Jamaica
CHL,2009,70,1.93,109,Chile
GTM,2009,81,4.83,15,Guatemala
LKA,2009,82,3.2,58,Sri Lanka
OMN,2009,67,2.19,100,Oman
KWT,2009,77,1.86,110,Kuwait
SAU,2009,59,2.68,86,Saudi Arabia
HND,2009,92,3.75,36,Honduras
SEN,2009,85,5.29,8,Senegal
PRY,2009,84,3.62,40,Paraguay
